datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,,,,,,,,1,2022-11-11 16:58:00,
,,,,,,,,1,2022-11-11 16:58:01,
,,,,,,,,1,2022-11-11 16:58:02,
,,,,,,,,1,2022-11-11 16:58:03,
,,,,,,,,1,2022-11-11 16:58:04,
,,,,,,,,1,2022-11-11 16:58:05,
,,,,,,,,1,2022-11-11 16:58:06,
,,,,,,,,1,2022-11-11 16:58:07,
,,,,,,,,1,2022-11-11 16:58:08,
,,,,,,,,1,2022-11-11 16:58:09,
,,,,,,,,1,2022-11-11 16:58:10,
,,,,,,,,1,2022-11-11 16:58:11,
,,,,,,,,1,2022-11-11 16:58:12,
,,,,,,,,1,2022-11-11 16:58:13,
,,,,,,,,1,2022-11-11 16:58:14,
,,,,,,,,1,2022-11-11 16:58:15,
,,,,,,,,1,2022-11-11 16:58:16,
,,,,,,,,1,2022-11-11 16:58:17,
,,,,,,,,1,2022-11-11 16:58:18,
,,,,,,,,1,2022-11-11 16:58:19,
,,,,,,,,1,2022-11-11 16:58:20,
,,,,,,,,1,2022-11-11 16:58:21,
,,,,,,,,1,2022-11-11 16:58:22,
,,,,,,,,1,2022-11-11 16:58:23,
,,,,,,,,1,2022-11-11 16:58:24,
,,,,,,,,1,2022-11-11 16:58:25,
,,,,,,,,1,2022-11-11 16:58:26,
,,,,,,,,1,2022-11-11 16:58:27,
,,,,,,,,1,2022-11-11 16:58:28,
,,,,,,,,1,2022-11-11 16:58:29,
,,,,,,,,1,2022-11-11 16:58:30,
,,,,,,,,1,2022-11-11 16:58:31,
,,,,,,,,1,2022-11-11 16:58:32,
,,,,,,,,1,2022-11-11 16:58:33,
,,,,,,,,1,2022-11-11 16:58:34,
,,,,,,,,1,2022-11-11 16:58:35,
,,,,,,,,1,2022-11-11 16:58:36,
,,,,,,,,1,2022-11-11 16:58:37,
,,,,,,,,1,2022-11-11 16:58:38,
,,,,,,,,1,2022-11-11 16:58:39,
,,,,,,,,1,2022-11-11 16:58:40,
,,,,,,,,1,2022-11-11 16:58:41,
,,,,,,,,1,2022-11-11 16:58:42,
,,,,,,,,1,2022-11-11 16:58:43,
,,,,,,,,1,2022-11-11 16:58:44,
,,,,,,,,1,2022-11-11 16:58:45,
,,,,,,,,1,2022-11-11 16:58:46,
,,,,,,,,1,2022-11-11 16:58:47,
,,,,,,,,1,2022-11-11 16:58:48,
,,,,,,,,1,2022-11-11 16:58:49,
,,,,,,,,1,2022-11-11 16:58:50,
,,,,,,,,1,2022-11-11 16:58:51,
,,,,,,,,1,2022-11-11 16:58:52,
,,,,,,,,1,2022-11-11 16:58:53,
,,,,,,,,1,2022-11-11 16:58:54,
,,,,,,,,1,2022-11-11 16:58:55,
,,,,,,,,1,2022-11-11 16:58:56,
,,,,,,,,1,2022-11-11 16:58:57,
,,,,,,,,1,2022-11-11 16:58:58,
,,,,,,,,1,2022-11-11 16:58:59,
,,,,,,,,1,2022-11-11 16:59:00,
,,,,,,,,1,2022-11-11 16:59:01,
,,,,,,,,1,2022-11-11 16:59:02,
,,,,,,,,1,2022-11-11 16:59:03,
,,,,,,,,1,2022-11-11 16:59:04,
,,,,,,,,1,2022-11-11 16:59:05,
,,,,,,,,1,2022-11-11 16:59:06,
,,,,,,,,1,2022-11-11 16:59:07,
,,,,,,,,1,2022-11-11 16:59:08,
,,,,,,,,1,2022-11-11 16:59:09,
,,,,,,,,1,2022-11-11 16:59:10,
,,,,,,,,1,2022-11-11 16:59:11,
,,,,,,,,1,2022-11-11 16:59:12,
,,,,,,,,1,2022-11-11 16:59:13,
,,,,,,,,1,2022-11-11 16:59:14,
,,,,,,,,1,2022-11-11 16:59:15,
,,,,,,,,1,2022-11-11 16:59:16,
,,,,,,,,1,2022-11-11 16:59:17,
,,,,,,,,1,2022-11-11 16:59:18,
,,,,,,,,1,2022-11-11 16:59:19,
,,,,,,,,1,2022-11-11 16:59:20,
,,,,,,,,1,2022-11-11 16:59:21,
,,,,,,,,1,2022-11-11 16:59:22,
,,,,,,,,1,2022-11-11 16:59:23,
,,,,,,,,1,2022-11-11 16:59:24,
,,,,,,,,1,2022-11-11 16:59:25,
,,,,,,,,1,2022-11-11 16:59:26,
,,,,,,,,1,2022-11-11 16:59:27,
,,,,,,,,1,2022-11-11 16:59:28,
,,,,,,,,1,2022-11-11 16:59:29,
,,,,,,,,1,2022-11-11 16:59:30,
,,,,,,,,1,2022-11-11 16:59:31,
,,,,,,,,1,2022-11-11 16:59:32,
,,,,,,,,1,2022-11-11 16:59:33,
,,,,,,,,1,2022-11-11 16:59:34,
,,,,,,,,1,2022-11-11 16:59:35,
,,,,,,,,1,2022-11-11 16:59:36,
,,,,,,,,1,2022-11-11 16:59:37,
,,,,,,,,1,2022-11-11 16:59:38,
,,,,,,,,1,2022-11-11 16:59:39,
,,,,,,,,1,2022-11-11 16:59:40,
,,,,,,,,1,2022-11-11 16:59:41,
,,,,,,,,1,2022-11-11 16:59:42,
,,,,,,,,1,2022-11-11 16:59:43,
,,,,,,,,1,2022-11-11 16:59:44,
,,,,,,,,1,2022-11-11 16:59:45,
,,,,,,,,1,2022-11-11 16:59:46,
,,,,,,,,1,2022-11-11 16:59:47,
,,,,,,,,1,2022-11-11 16:59:48,
,,,,,,,,1,2022-11-11 16:59:49,
,,,,,,,,1,2022-11-11 16:59:50,
,,,,,,,,1,2022-11-11 16:59:51,
,,,,,,,,1,2022-11-11 16:59:52,
,,,,,,,,1,2022-11-11 16:59:53,
,,,,,,,,1,2022-11-11 16:59:54,
,,,,,,,,1,2022-11-11 16:59:55,
,,,,,,,,1,2022-11-11 16:59:56,
,,,,,,,,1,2022-11-11 16:59:57,
,,,,,,,,1,2022-11-11 16:59:58,
,,,,,,,,1,2022-11-11 16:59:59,
,,,,,,,,1,2022-11-11 17:00:00,
,,,,,,,,1,2022-11-11 17:00:01,
,,,,,,,,1,2022-11-11 17:00:02,
,,,,,,,,1,2022-11-11 17:00:03,
,,,,,,,,1,2022-11-11 17:00:04,
,,,,,,,,1,2022-11-11 17:00:05,
,,,,,,,,1,2022-11-11 17:00:06,
,,,,,,,,1,2022-11-11 17:00:07,
,,,,,,,,1,2022-11-11 17:00:08,
,,,,,,,,1,2022-11-11 17:00:09,
,,,,,,,,1,2022-11-11 17:00:10,
,,,,,,,,1,2022-11-11 17:00:11,
,,,,,,,,1,2022-11-11 17:00:12,
,,,,,,,,1,2022-11-11 17:00:13,
,,,,,,,,1,2022-11-11 17:00:14,
,,,,,,,,1,2022-11-11 17:00:15,
,,,,,,,,1,2022-11-11 17:00:16,
,,,,,,,,1,2022-11-11 17:00:17,
,,,,,,,,1,2022-11-11 17:00:18,
,,,,,,,,1,2022-11-11 17:00:19,
,,,,,,,,1,2022-11-11 17:00:20,
,,,,,,,,1,2022-11-11 17:00:21,
,,,,,,,,1,2022-11-11 17:00:22,
,,,,,,,,1,2022-11-11 17:00:23,
,,,,,,,,1,2022-11-11 17:00:24,
,,,,,,,,1,2022-11-11 17:00:25,
,,,,,,,,1,2022-11-11 17:00:26,
,,,,,,,,1,2022-11-11 17:00:27,
,,,,,,,,1,2022-11-11 17:00:28,
,,,,,,,,1,2022-11-11 17:00:29,
,,,,,,,,1,2022-11-11 17:00:30,
,,,,,,,,1,2022-11-11 17:00:31,
,,,,,,,,1,2022-11-11 17:00:32,
,,,,,,,,1,2022-11-11 17:00:33,
,,,,,,,,1,2022-11-11 17:00:34,
,,,,,,,,1,2022-11-11 17:00:35,
,,,,,,,,1,2022-11-11 17:00:36,
,,,,,,,,1,2022-11-11 17:00:37,
,,,,,,,,1,2022-11-11 17:00:38,
,,,,,,,,1,2022-11-11 17:00:39,
,,,,,,,,1,2022-11-11 17:00:40,
,,,,,,,,1,2022-11-11 17:00:41,
,,,,,,,,1,2022-11-11 17:00:42,
,,,,,,,,1,2022-11-11 17:00:43,
,,,,,,,,1,2022-11-11 17:00:44,
,,,,,,,,1,2022-11-11 17:00:45,
,,,,,,,,1,2022-11-11 17:00:46,
,,,,,,,,1,2022-11-11 17:00:47,
,,,,,,,,1,2022-11-11 17:00:48,
,,,,,,,,1,2022-11-11 17:00:49,
,,,,,,,,1,2022-11-11 17:00:50,
,,,,,,,,1,2022-11-11 17:00:51,
,,,,,,,,1,2022-11-11 17:00:52,
,,,,,,,,1,2022-11-11 17:00:53,
,,,,,,,,1,2022-11-11 17:00:54,
,,,,,,,,1,2022-11-11 17:00:55,
,,,,,,,,1,2022-11-11 17:00:56,
,,,,,,,,1,2022-11-11 17:00:57,
,,,,,,,,1,2022-11-11 17:00:58,
,,,,,,,,1,2022-11-11 17:00:59,
,,,,,,,,1,2022-11-11 17:01:00,
,,,,,,,,1,2022-11-11 17:01:01,
,,,,,,,,1,2022-11-11 17:01:02,
,,,,,,,,1,2022-11-11 17:01:03,
,,,,,,,,1,2022-11-11 17:01:04,
,,,,,,,,1,2022-11-11 17:01:05,
,,,,,,,,1,2022-11-11 17:01:06,
,,,,,,,,1,2022-11-11 17:01:07,
,,,,,,,,1,2022-11-11 17:01:08,
,,,,,,,,1,2022-11-11 17:01:09,
,,,,,,,,1,2022-11-11 17:01:10,
,,,,,,,,1,2022-11-11 17:01:11,
,,,,,,,,1,2022-11-11 17:01:12,
,,,,,,,,1,2022-11-11 17:01:13,
,,,,,,,,1,2022-11-11 17:01:14,
,,,,,,,,1,2022-11-11 17:01:15,
,,,,,,,,1,2022-11-11 17:01:16,
,,,,,,,,1,2022-11-11 17:01:17,
,,,,,,,,1,2022-11-11 17:01:18,
,,,,,,,,1,2022-11-11 17:01:19,
,,,,,,,,1,2022-11-11 17:01:20,
,,,,,,,,1,2022-11-11 17:01:21,
,,,,,,,,1,2022-11-11 17:01:22,
,,,,,,,,1,2022-11-11 17:01:23,
,,,,,,,,1,2022-11-11 17:01:24,
,,,,,,,,1,2022-11-11 17:01:25,
,,,,,,,,1,2022-11-11 17:01:26,
