datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:33,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:34,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:35,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:36,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:37,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:38,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:39,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:40,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:41,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:42,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:43,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:44,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:45,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:46,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:47,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:48,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:49,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:50,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:51,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:52,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:53,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:54,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:55,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:56,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:57,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:58,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:59,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:00,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:01,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:02,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:03,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:04,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:05,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:06,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:07,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:08,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:09,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:10,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:11,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:12,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:13,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:14,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:15,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:16,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:51:17,
